twitter;date;candidate;estado;location;retweet_count;favorite_count
0;2022-05-13 16:17:00;branco;Não Informado;Curitiba, Paraná, Brasil.;0;4
1;2022-05-13 16:17:11;branco;Não Informado;;0;6
2;2022-05-13 16:17:38;branco;Não Informado;;0;1
3;2022-05-13 16:17:51;branco;Não Informado;;0;0
4;2022-05-13 16:18:35;branco;MG;Minas Gerais ;4;9
5;2022-05-13 16:19:33;branco;Não Informado;;0;3
6;2022-05-13 16:19:37;branco;Não Informado;;0;1
7;2022-05-13 16:19:47;branco;MG;Minas Gerais ;0;5
8;2022-05-13 16:20:08;branco;GO;Goiânia, Brasil;0;2
9;2022-05-13 16:20:12;branco;Não Informado;;0;0
10;2022-05-13 16:20:16;branco;SP;São Paulo, Brasil;0;1
11;2022-05-13 16:20:20;branco;Não Informado;;0;0
12;2022-05-13 16:20:26;branco;MG;Minas Gerais ;1;8
13;2022-05-13 16:20:49;branco;Brasileiro sem Estado;Brasil;0;0
14;2022-05-13 16:21:13;branco;Não Informado;;0;1
15;2022-05-13 16:21:30;branco;AL;arapiraca;0;0
16;2022-05-13 16:21:46;branco;Não Informado;;0;2
17;2022-05-13 16:21:58;branco;SP;Santo André, SP;0;0
18;2022-05-13 16:22:14;branco;AL;arapiraca;0;0
19;2022-05-13 16:22:28;branco;Estrangeiro;pelotas r/s;0;1
20;2022-05-13 16:22:54;branco;PE;Recife, Brasil;0;2
21;2022-05-13 16:23:37;branco;Não Informado;;4;9
22;2022-05-13 16:24:25;branco;Não Informado;;0;0
23;2022-05-13 16:25:10;branco;Não Informado;;0;0
24;2022-05-13 16:25:17;branco;MG;Minas Gerais ;2;5
25;2022-05-13 16:25:22;branco;Estrangeiro;Minera uai!  Cafecumpaodiquejo;0;1
26;2022-05-13 16:25:45;branco;Não Informado;;0;3
27;2022-05-13 16:25:57;branco;AC;RB, Acre, Amazônia, Brasil;0;0
28;2022-05-13 16:26:28;branco;Não Informado;;0;0
29;2022-05-13 16:28:21;branco;RJ;Rio de Janeiro, Brasil;0;1
30;2022-05-13 16:28:39;branco;SP;Mogi das Cruzes, Brasil;0;0
31;2022-05-13 16:29:03;branco;Não Informado;;0;4
32;2022-05-13 16:29:07;branco;SP;BRASIL - SP;0;1
33;2022-05-13 16:29:42;branco;RJ;Rio de Janeiro, Brasil;0;2
34;2022-05-13 16:29:47;branco;MG;Belo Horizonte, Brasil;2;3
35;2022-05-13 16:29:48;branco;Não Informado;;0;0
36;2022-05-13 16:30:02;elenao;Brasileiro sem Estado;Brasil;0;0
37;2022-05-13 16:30:05;branco;SP;São Paulo, Brasil;1;1
38;2022-05-13 16:30:05;branco;Não Informado;;0;0
39;2022-05-13 16:30:13;branco;MG;Minas Gerais ;1;6
40;2022-05-13 16:30:14;branco;BA;Feira de Santana, Brasil;0;0
41;2022-05-13 16:30:27;branco;BA;Feira de Santana, Brasil;1;4
42;2022-05-13 16:30:43;branco;Brasileiro sem Estado;Brasil;2;4
43;2022-05-13 16:30:50;branco;MG;Belo Horizonte, Minas Gerais;0;1
44;2022-05-13 16:30:52;branco;Não Informado;;0;0
45;2022-05-13 16:30:58;branco;Não Informado;;0;0
46;2022-05-13 16:31:25;branco;Não Informado;;1;2
47;2022-05-13 16:31:40;branco;Não Informado;;0;0
